,Customer_ID,Customer_Name,Country,City,Age,Signup_Date,Customer_Segment,Annual_Spend_DKK,Orders,Email,Active
52,10207,Amira Khalil,Denmark,Copenhagen,33,2025-11-06,Premium,8606.0,15,user10207@example.com,Yes
53,10135,ANNA SCHMIDT,Sweden,Malmö,42,2025-12-19,Standard,4515.04,30,user10135@example.com,Yes
54,10351,Lucas Kristensen,Sweden,Malmö,19,2025-04-02,Premium,5247.34,12,user10351@example.com,Yes
55,10297,Maya Patel,Germany,Berlin,53,2025-03-01,Standard,7272.99,14,user10297@example.com,Yes
56,10371,Elena Müller,Norway,Oslo,51,2026-06-15,Premium,8269.2,21,user10371@example.com,Yes
57,10090,Amira Khalil,Denmark,Copenhagen,71,2026-02-19,Basic,5475.26,6,user10090@example.com,Yes
58,10520,Mathias Poulsen,Norway,Oslo,64,2024-10-27,Standard,12340.09,24,user10520@example.com,Yes
59,10372,Adam Ali,Denmark,Aarhus,20,2024-07-19,Premium,14963.57,32,user10372@example.com,Yes
60,10212,Alexander Rasmussen,Sweden,Malmö,33,2026-04-30,Standard,11986.96,17, user10212@example.com ,Yes
61,10240,Lina Osman,Denmark,Odense,70,2025-01-10,Basic,,5,user10240@example.com,Yes
62,10158,Maya Lindberg,Sweden,Malmö,52,2025-07-28,Basic,21241.29,13,user10158@example.com,Yes
63,10231,Oliver Hansen,Denmark,Odense,67,2025-12-20,Basic,8577.42,19,user10231@example.com,Yes
64,10379,Amira Khalil,Denmark,Aarhus,33,2026-01-30,Standard,13964.99,31,user10379@example.com,No
65,10165,Nora Eriksson,Denmark,Odense,29,2025-06-21,Premium,13650.58,20,user10165@example.com,Yes
66,10364,ADAM ALI,Denmark,,21,2024-03-07,Premium,12534.33,31, user10364@example.com ,Yes
67,10112,Adam Ali,Denmark,Odense,19,2025-01-11,Standard,15809.72,17,user10112@example.com,Yes
68,10565,Leo Wagner,Sweden,Malmö,24,2024-10-12,Standard,12579.08,32,user10565@example.com,Yes
69,10501,Clara Andersen,Sweden,Gothenburg,37,2025-07-06,Standard,13006.26,9,user10501@example.com,No
70,10431,Daniel Brown,Germany,Hamburg,57,2025-09-30,Basic,3178.88,26,user10431@example.com,Yes
71,10484,Leila Osman,Denmark,Copenhagen,31,2026-04-19,Standard,9015.54,22,user10484@example.com,No
72,10186,Nora Eriksson,Sweden,Gothenburg,24,2025-06-29,Standard,24080.01,19,user10186@example.com,Yes
73,10305,Sofie Larsen,Norway,Oslo,53,2025-08-01,Basic,11603.01,28,user10305@example.com,Yes
74,10124,Maya Patel,Denmark,Copenhagen,38,2025-03-28,Basic,9967.02,13,user10124@example.com,Yes
75,10374,Elena Müller,Denmark,Odense,70,2025-01-31,Premium,16683.09,18,user10374@example.com,No
76,10286,Anna Schmidt,Denmark,Aalborg,26,2024-07-03,Basic,18259.74,27,user10286@example.com,Yes
77,10179,Alexander Rasmussen,Germany,Hamburg,38,2025-02-12,Premium,10693.98,7,user10179@example.com,Yes
78,10315,Clara Andersen,Denmark,Aarhus,39,2025-12-04,Standard,5122.23,6,user10315@example.com,Yes
79,10475,Elena Müller,Denmark,Copenhagen,49,2024-08-01,Basic,16429.84,23,user10475@example.com,Yes
80,10645,Daniel Martin,Sweden,Malmö,57,2025-01-07,Standard,16313.16,15,user10645@example.com,Yes
81,10569,mads nielsen,Denmark,Aarhus,62,2025-07-18,Standard,11018.15,24,user10569@example.com,N
82,10353,Clara Andersen,Denmark,Odense,68,2024-05-19,Standard,,18,user10353@example.com,Yes
83,10174,Ida Sørensen,Germany,Berlin,56,2024-10-12,Premium,11045.05,21,user10174@example.com,Yes
84,10356,Alexander Rasmussen,Denmark,Aarhus,71,2024-01-05,Standard,11295.62,11,user10356@example.com,Yes
85,10272,Sofia Petersen,Denmark,Aarhus,70,2024-10-25,Standard,7712.7,14,user10272@example.com,Yes
86,10401,Laura Thomsen,Denmark,Odense,,2024-04-18,Premium,3777.89,14,user10401@example.com,Yes
87,10416,Victor Lindström,Denmark,Aarhus,42,2025-09-02,Standard,11979.03,25,user10416@example.com,Yes
88,10408,Amira Khalil,Norway,Oslo,40,2026-04-09,Premium,6524.31,18,user10408@example.com,No
89,10430,Sofie Larsen,Norway,Bergen,66,2025-10-22,Standard,6142.97,30,user10430@example.com,Yes
90,10345,William Pedersen,Norway,,62,2024-11-08,Standard,4761.34,7,user10345@example.com,Yes
91,10043,Sofie Larsen,Sweden,Malmö,28,2024-02-08,Standard,9457.17,29,user10043@example.com,Yes
92,10428,Adam Ali,Norway,Oslo,58,2025-11-23,Standard,6564.18,18,,Yes
93,10035,Sara Mohamed,Denmark,Odense,22,2025-07-01,Standard,4656.53,13,user10035@example.com,Yes
94,10066,Emma Jensen,Denmark,Copenhagen,46,2026-01-02,Standard,20050.72,21,user10066@example.com,Yes
95,10273,Lucas Garcia,Denmark,Aarhus,62,2026-01-15,Standard,14762.68,15,user10273@example.com,Yes
96,10069,Leila Osman,Denmark,Odense,22,2024-08-18,Standard,13242.5,5,user10069@example.com,No
97,10311,Daniel Brown,Denmark,Aarhus,24,2024-02-03,Standard,13485.44,2,user10311@example.com,Yes
98,10168,Daniel Martin,Norway,Bergen,71,2026-02-26,Premium,2325.46,17,user10168@example.com,Yes
99,10370,Lucas Garcia,Germany,Berlin,52,2024-03-19,Basic,2600.36,25,user10370@example.com,Yes
100,10044,Adam Ali,Denmark,Odense,43,2024-09-17,Premium,20304.98,7,user10044@example.com,Yes
101,10546,Lina Osman,Denmark,,47,2024-04-09,Standard,17003.6,18,user10546@example.com,No
102,10198,Daniel Brown,Germany,Berlin,48,2025-05-22,Basic,1469.62,7,user10198@example.com,Yes
103,10002,Emily Wilson,Denmark,Odense,29,2025-11-03,Premium,15094.06,32,user10002@example.com,Yes
104,10003,Elias Hussein,Norway,Oslo,60,2024-05-20,Basic,7870.16,3,user10003@example.com,Yes
105,10482,Emil Johansson,Denmark,Odense,62,,Standard,,14,user10482@example.com,Yes
106,10048,Sofia Rossi,Denmark,Aalborg,60,2026-03-27,Standard,18196.4,8,user10048@example.com,Yes
107,10622,Sara Mohamed,Denmark,Aalborg,31,2024-02-04,Standard,17293.41,27,user10622@example.com,Yes
108,10323,Amira Khalil,Denmark,Copenhagen,24,2025-12-09,Basic,4540.2,16,user10323@example.com,Yes
109,10121,Adam Hassan,Sweden,Malmö,51,2026-07-06,Basic,7114.52,8,user10121@example.com,Yes
110,10159,Laura Thomsen,Sweden,Malmö,37,2025-08-16,Standard,10958.08,33,user10159@example.com,No
111,10449,isabella romano,Denmark,Copenhagen,,2024-09-17,Premium,3841.53,4,user10449@example.com,Yes
112,10642,Laura Thomsen,Norway,Oslo,29,2026-04-13,Basic,8157.7,18,user10642@example.com,No
113,10164,Clara Andersen,Denmark,Aalborg,19,2024-03-25,Standard,20842.81,19,user10164@example.com,no
114,10109,Emma Jensen,Denmark,Copenhagen,57,2024-06-17,Premium,12148.82,23,,No
115,10173,  Oscar Berg ,Denmark,Odense,28,2025-06-24,Standard,11981.2,9,user10173@example.com,Yes
116,10640,IDA SØRENSEN,Norway,Oslo,20,2026-11-01,Standard,8717.3,17,user10640@example.com,NO
117,10531,Sofia Petersen,Sweden,Stockholm,37,2024-02-20,Standard,12861.74,6,user10531@example.com,Yes
118,10362,Lina Osman,Denmark,Aarhus,40,2025-06-09,Premium,5453.61,11,user10362@example.com,No
119,10505,William Pedersen,Denmark,Aalborg,55,2024-03-02,Standard,9462.75,5,user10505@example.com,Yes
120,10131,Maya Lindberg,Denmark,Aalborg,69,2026-01-18,Standard,16393.58,3,user10131@example.com,No
121,10288,Oliver Hansen,Denmark,Copenhagen,21,2024-04-29,Standard,14827.58,10,user10288@example.com,Yes
122,10525,Elena Müller,Denmark,Aarhus,41,2025-01-22,Standard,25691.73,33,user10525@example.com,Yes
123,10551,Oliver Hansen,Denmark,Odense,56,2026-10-04,Premium,9599.39,23,user10551@example.com,No
124,10209,Nora Eriksson,Denmark,Aalborg,60,2026-01-27,Standard,13386.37,24,user10209@example.com,no
125,10333,Oliver Hansen,Sweden,Malmö,26,2024-07-04,Standard,8536.0,23,user10333@example.com,Yes
126,10563,Leo Wagner,Norway,Bergen,26,2025-08-30,Premium,24341.34,1,user10563@example.com,Yes
127,10047,Nora Eriksson,Denmark,Odense,48,2024-07-09,Standard,10295.23,11,user10047@example.com,Yes
128,10397,Maya Lindberg,Norway,Oslo,34,2025-07-31,Basic,10081.85,19,,Yes
129,10089,Victor Lindström,Denmark,Aalborg,52,2026-11-02,Standard,11159.51,23,user10089@example.com,Yes
130,10335,Emily Wilson,Denmark,Odense,61,2025-11-08,Premium,7598.37,17,user10335@example.com,No
131,10096,Yasmin Ahmed,Sweden,Gothenburg,37,2025-11-14,Premium,4748.74,33,user10096@example.com,Yes
132,10620,Sara Mohamed,Denmark,Aalborg,41,2025-02-10,Basic,8086.1,25,user10620@example.com,Yes
133,10594,Sofia Rossi,Sweden,Stockholm,28,2024-09-27,Standard,11847.31,24,user10594@example.com,Yes
134,10614,Daniel Brown,Germany,Hamburg,70,2025-03-07,Standard,12545.9,9,user10614@example.com,No
135,10102,Alexander Rasmussen,Sweden,,60,2026-04-24,Premium,3384.06,7,user10102@example.com,Yes
136,10460,Yasmin Ahmed,Sweden,Malmö,32,2026-03-02,Basic,24584.59,15,user10460@example.com,Yes
137,10279,Sofie Larsen,Germany,Hamburg,65,2024-06-17,Premium,7133.78,26,user10279@example.com,Yes
138,10497,  Omar Mohamed ,Denmark,Aalborg,,2025-08-02,Premium,12470.62,7,user10497@example.com,Yes
139,10225,Lina Osman,Denmark,Aarhus,51,2024-09-25,Standard,21333.94,3,user10225@example.com,Yes
140,10040,Emily Wilson,Sweden,Gothenburg,64,2024-06-15,Premium,21963.17,7,user10040@example.com,Yes
141,10412,Maya Lindberg,Sweden,Gothenburg,45,2025-02-25,Premium,9969.62,28,user10412@example.com,Yes
142,10018,Yasmin Ahmed,Denmark,Copenhagen,20,2025-09-13,Basic,12449.57,20,user10018@example.com,Yes
143,10200,Leo Wagner,Denmark,Aalborg,39,2025-03-22,Premium,6744.69,11,user10200@example.com,N
144,10041,Sara Mohamed,Denmark,Odense,30,2024-12-29,Premium,7022.45,12,user10041@example.com,No
145,10138,maya patel,Denmark,Odense,28,2025-10-24,Standard,7655.94,15,user10138@example.com,No
146,10481,Mads Nielsen,Denmark,Aarhus,41,2025-11-10,Standard,20091.25,11,user10481@example.com,Yes
147,10440,Ida Sørensen,Sweden,Gothenburg,28,2024-05-30,Premium,10976.26,2,user10440@example.com,Yes
148,10509,Oliver Hansen,Denmark,Copenhagen,66,2024-03-13,Standard,6777.34,19,user10509@example.com,Yes
149,10644,Mads Nielsen,Denmark,Aarhus,46,2024-06-30,Standard,21110.76,25,user10644@example.com,Yes
150,10312,William Pedersen,Denmark,Aalborg,22,2024-01-06,Basic,14338.46,6,user10312@example.com,Yes
151,10204,Anna Schmidt,Denmark,Odense,21,2024-09-11,Basic,12702.43,28,user10204@example.com,no
152,10410,Ida Sørensen,Germany,Hamburg,61,2025-03-20,Premium,18611.17,17,user10410@example.com,Yes
153,10433,Elias Hussein,Sweden,Gothenburg,48,2024-12-07,Premium,6898.51,6,user10433@example.com,No
154,10042,William Pedersen,Norway,Oslo,44,2025-02-21,Standard,11442.68,21,user10042@example.com,Yes
155,10468,Maya Lindberg,Germany,Hamburg,56,2024-08-13,Standard,19926.14,31,user10468@example.com,YES
156,10330,William Pedersen,Denmark,Odense,53,2024-10-03,Standard,,21,user10330@example.com,Yes
157,10419,Emily Wilson,Denmark,Aarhus,50,2025-01-18,Standard,10222.34,2,user10419@example.com,Yes
158,10178,Daniel Martin,Germany,Berlin,66,2026-06-03,Standard,5048.36,6,user10178@example.com,yes
159,10386,Amina Hassan,Germany,Berlin,53,2025-01-03,Standard,8065.82,10,user10386@example.com,Yes
160,10603,sofia rossi,Germany,Hamburg,59,2024-04-04,Standard,20973.19,29,user10603@example.com,Yes
161,10155,Adam Ali,Denmark,Aalborg,71,2024-12-19,Standard,,22,user10155@example.com,Yes
162,10199,Maya Lindberg,Denmark,Aalborg,56,2025-06-28,Basic,19930.74,15,user10199@example.com,Yes
163,10459,Adam Ali,Norway,Oslo,39,2025-03-18,Standard,3908.02,12,user10459@example.com,Yes
164,10278,Daniel Brown,Denmark,Aalborg,68,2024-03-22,Premium,5308.66,24,user10278@example.com,Yes
165,10255,Maya Lindberg,Denmark,Copenhagen,57,2024-01-16,Standard,19946.87,15,user10255@example.com,Yes
166,10347,Emil Johansson,Germany,Hamburg,49,2024-01-11,Standard,20676.12,8,user10347@example.com,Yes
167,10123,YASMIN AHMED,Denmark,Copenhagen,24,2024-04-10,Standard,10781.55,1,user10123@example.com,Yes
168,10214,Emil Johansson,Norway,Bergen,70,2024-02-15,Standard,19833.11,31,user10214@example.com,Yes
169,10511,Alexander Rasmussen,Denmark,Copenhagen,47,2024-05-06,Basic,,32,user10511@example.com,Yes
170,10077,Leila Osman,Denmark,Odense,69,2024-05-24,Basic,8428.03,18,user10077@example.com,Yes
171,10285,Noah Khan,Denmark,Odense,37,2024-03-19,Basic,6495.6,5,user10285@example.com,Yes
172,10175,Omar Mohamed,Denmark,Odense,47,2025-03-07,Standard,8585.41,10,user10175@example.com,Yes
173,10277,Sara Mohamed,Denmark,Aalborg,53,2024-04-29,Standard,6610.19,26,user10277@example.com,Yes
174,10005,Lina Osman,Denmark,Aalborg,58,2024-07-31,Basic,13186.22,11,user10005@example.com,Yes
175,10270,Omar Mohamed,Denmark,Aarhus,29,2026-09-04,Standard,16973.26,33,user10270@example.com,Yes
176,10222,Sofia Rossi,Denmark,Odense,62,2025-02-11,Standard,9253.13,19,user10222@example.com,Yes
177,10376,Omar Mohamed,Denmark,Aalborg,43,2025-10-30,Basic,,11,user10376@example.com,No
178,10593,Victor Lindström,Denmark,Aalborg,54,2025-05-18,Standard,,9,user10593@example.com,No
179,10389,Adam Hassan,Denmark,Aarhus,66,2024-03-15,Standard,15624.72,13,user10389@example.com,Yes
180,10256,Freja Møller,Sweden,Gothenburg,22,2026-10-03,Standard,6028.11,33,user10256@example.com,Yes
181,10498,Lucas Kristensen,Sweden,Stockholm,34,2026-05-06,Standard,4024.49,25,user10498@example.com,Yes
182,10254,Lina Osman,Denmark,Copenhagen,22,2024-06-30,Premium,13332.82,25,user10254@example.com,Yes
183,10310,William Pedersen,Denmark,Aalborg,36,2025-02-24,Standard,6959.67,20,user10310@example.com,Yes
184,10117,Noah Khan,Norway,Bergen,41,2025-12-07,Standard,9413.42,21,user10117@example.com,Yes
185,10149,Lucas Garcia,Denmark,Aalborg,40,2024-08-01,Premium,11553.76,29,user10149@example.com,Yes
186,10348,Maya Patel,Denmark,Copenhagen,44,2025-05-13,Premium,15671.66,21,user10348@example.com,No
187,10057,Emil Johansson,Denmark,Copenhagen,21,2024-05-09,Standard,6441.08,12,user10057@example.com,no
188,10269,Amira Khalil,Denmark,Copenhagen,64,2025-02-09,Basic,3516.25,11, user10269@example.com ,Yes
189,10006,Maya Patel,Germany,Hamburg,58,2024-06-18,Basic,9697.23,20,,Yes
190,10477,Emil Johansson,Denmark,Aarhus,23,2024-08-04,Premium,14718.89,22,user10477@example.com,Yes
191,10036,omar mohamed,Denmark,Aalborg,19,2025-02-25,Basic,15346.67,3,user10036@example.com,Yes
192,10156,Clara Andersen,Sweden,Malmö,65,2024-12-11,Standard,20008.37,25,user10156@example.com,Yes
193,10526,Amira Khalil,Denmark,Copenhagen,66,2024-06-18,Premium,9939.58,28,user10526@example.com,Yes
194,10589,Clara Andersen,Denmark,Odense,21,2026-05-13,Premium,8845.88,12,user10589@example.com,Yes
195,10649,Emma Jensen,Sweden,Gothenburg,25,2024-09-30,Basic,11580.57,11,user10649@example.com,Yes
196,10301,Anna Schmidt,Norway,Bergen,45,2025-01-30,Standard,36609.74,34,user10301@example.com,Yes
197,10639,Leila Osman,Norway,Bergen,65,2024-05-05,Standard,12584.82,5,user10639@example.com,Yes
198,10265,Adam Ali,Germany,Hamburg,22,2024-08-24,Basic,6368.62,11,user10265@example.com,No
199,10329,Daniel Martin,Sweden,Stockholm,28,2026-04-03,Basic,9199.09,1,user10329@example.com,Yes
200,10249,Elias Holm,Denmark,Odense,33,2024-04-20,Standard,9761.11,12,user10249@example.com,Yes
201,10627,Sofia Petersen,Norway,Oslo,49,2025-09-17,Standard,8599.93,17,user10627@example.com,Yes
202,10517,Alexander Rasmussen,Denmark,Copenhagen,51,2025-02-09,Basic,14613.07,27,user10517@example.com,Yes
203,10004,Victor Lindström,Sweden,Stockholm,48,2024-11-30,Basic,25358.11,8,user10004@example.com,Yes
204,10068,Maya Lindberg,Denmark,Odense,70,2024-12-25,Premium,12353.58,34,user10068@example.com,Yes
205,10320,Omar Mohamed,Germany,Berlin,38,2024-09-08,Basic,12441.96,25,user10320@example.com,Yes
206,10262,Laura Thomsen,Norway,Bergen,68,2025-06-04,Standard,11208.27,16,user10262@example.com,Yes
207,10555,Sofie Larsen,Denmark,Aarhus,21,2024-01-21,Standard,22029.11,24,user10555@example.com,Yes
208,10574,Adam Hassan,Norway,Oslo,36,2024-06-09,Standard,10699.79,7,user10574@example.com,Yes
209,10514,Elias Holm,Denmark,Odense,68,2025-07-27,Standard,,31,user10514@example.com,Yes
210,10508,elias holm,Norway,Bergen,37,2025-07-05,Premium,6703.69,21,user10508@example.com,Yes
211,10577,Alexander Rasmussen,Germany,Hamburg,51,2024-10-30,Basic,11770.33,9,user10577@example.com,Yes
212,10120,elias holm,Sweden,Stockholm,26,2024-04-16,Standard,5744.59,20,user10120@example.com,Yes
213,10140,Leila Osman,Denmark,Aarhus,36,2025-02-09,Standard,15483.43,3,user10140@example.com,Yes
214,10274,Isabella Romano,Sweden,Stockholm,29,2024-01-06,Premium,6137.32,28,user10274@example.com,Yes
215,10496,Ida Sørensen,Denmark,Aalborg,58,2026-06-06,Standard,6080.08,33,user10496@example.com,Yes
216,10544,Leo Wagner,Germany,Berlin,48,2025-08-13,Basic,8907.74,10, user10544@example.com ,Yes
217,10337,Freja Møller,Denmark,Aalborg,59,2025-11-02,Basic,5692.65,26,user10337@example.com,Yes
218,10619,Maya Lindberg,Denmark,Copenhagen,71,2024-07-18,Standard,16085.99,16,user10619@example.com,Yes
219,10573,Lina Osman,Denmark,Aarhus,41,2025-08-05,Standard,13902.34,26,user10573@example.com,Yes
220,10566,Emily Wilson,Sweden,Gothenburg,,2024-05-03,Basic,12048.36,26,user10566@example.com,No
221,10355,Freja Møller,Denmark,Aalborg,32,2026-12-04,Standard,4596.69,15,user10355@example.com,No
222,10189,Sofie Larsen,Sweden,Stockholm,18,2026-04-21,Basic,23544.82,28,user10189@example.com,Yes
223,10363,Lucas Kristensen,Denmark,Odense,70,2025-02-07,Standard,21560.93,11,user10363@example.com,No
224,10264,Amira Khalil,Denmark,Aarhus,51,2024-06-05,Standard,12781.6,0,user10264@example.com,Yes
225,10243,Oliver Hansen,Denmark,Copenhagen,59,2024-11-30,Standard,10337.8,26,user10243@example.com,Yes
226,10495,  Elias Holm ,Norway,Bergen,67,2024-05-08,Standard,8681.77,31,user10495@example.com,Yes
227,10074,Emily Wilson,Denmark,Odense,28,2025-07-29,Basic,9034.02,14,user10074@example.com,Yes
228,10012,Emil Johansson,Germany,Berlin,68,2025-07-03,Standard,22186.53,5,user10012@example.com,Yes
229,10203,Alexander Rasmussen,Denmark,Aalborg,71,2025-11-02,Basic,11533.42,25,user10203@example.com,No
230,10343,Oscar Berg,Norway,Oslo,59,2026-05-06,Standard,7408.56,6,user10343@example.com,Yes
231,10260,Nora Eriksson,Sweden,Malmö,42,2024-10-11,Premium,8664.9,19,user10260@example.com,Yes
233,10564,Sofia Petersen,Sweden,Gothenburg,,2025-02-02,Premium,10289.78,26,,Yes
234,10289,Nora Eriksson,Denmark,Copenhagen,26,2025-04-20,Standard,9466.82,26,user10289@example.com,Yes
235,10442,Lucas Garcia,Denmark,Aarhus,33,2025-07-17,Basic,10896.41,14,user10442@example.com,Yes
236,10283,Amina Hassan,Denmark,Aalborg,48,2024-02-25,Premium,10507.97,8,user10283@example.com,Yes
237,10309,Alexander Rasmussen,Denmark,Aarhus,24,2024-05-31,Premium,8917.81,15,user10309@example.com,Yes
238,10190,Amina Hassan,Denmark,Copenhagen,63,2026-01-16,Premium,15974.91,16,user10190@example.com,Yes
239,10116,Daniel Brown,Norway,Bergen,43,,Basic,13679.55,3,user10116@example.com,No
240,10486,Alexander Rasmussen,Denmark,Odense,37,2024-02-07,Basic,11157.28,9,user10486@example.com,Yes
241,10229,Emma Jensen,Sweden,Stockholm,51,2025-03-01,Premium,6681.13,28,user10229@example.com,Yes
242,10450,Sofia Rossi,Sweden,Gothenburg,,2025-11-14,Standard,8545.24,24,user10450@example.com,Yes
243,10268,Lina Osman,Denmark,Aalborg,26,2026-03-23,Basic,6322.5,10,,Yes
244,10241,Elias Holm,Norway,Oslo,41,2024-07-04,Premium,20602.38,23,user10241@example.com,Yes
245,10025,Nora Eriksson,Norway,Bergen,67,2024-08-06,Premium,13990.09,3,user10025@example.com,Y
246,10543,Isabella Romano,Norway,Bergen,42,2024-08-17,Premium,6946.75,31,user10543@example.com,Yes
247,10059,Sofie Larsen,Denmark,Aalborg,54,2024-01-22,Premium,5967.05,22,user10059@example.com,Yes
248,10632,Elias Holm,Norway,Oslo,29,2024-07-20,Basic,13963.05,19,user10632@example.com,Yes
250,10014,Nora Eriksson,Norway,Bergen,50,2026-02-14,Premium,12808.07,31,user10014@example.com,No
251,10489,Maya Lindberg,Denmark,Aalborg,30,2025-08-24,Standard,13255.52,34,,Yes
252,10395,Freja Møller,Denmark,Odense,59,2026-05-13,Standard,10614.4,24,user10395@example.com,Yes
253,10403,Elias Hussein,Norway,Bergen,68,2025-03-01,Standard,15056.97,15,user10403@example.com,No
254,10197,Adam Ali,Sweden,Malmö,65,2024-10-15,Premium,17035.97,34,user10197@example.com,Yes
